d0=3cm,,,,,
d (cm),CH2(V),,,,
12.3,1.19057,,,,
12.75,1.0527,,,,
13.2,0.90927,,,,
13.6,0.75942,,,,
14.1,0.67469,,,,
14.45,0.59976,,,,
14.85,0.51619,,,,
15.25,0.45291,,,,
15.7,0.42612,,,,
16.1,0.37822,,,,
16.55,0.31404,,,,
17.05,0.29846,,,,
17.4,0.27327,,,,
17.75,0.24679,,,,
18.2,0.22953,,,,
18.65,0.21977,,,,
19,0.20239,,,,
19.45,0.19559,,,,
19.9,0.19268,,,,
20.25,0.18266,,,,
20.7,0.18037,,,,
21.1,0.17778,,,,
21.55,0.16861,,,,
23.2,0.15506,,,,
24.9,0.14211,,,,
26.55,0.13345,,,,
29.9,0.10494,,,,
33.3,0.09612,,,,
36.6,0.07568,,,,
43.3,0.06421,,,,
50.1,0.05116,,,,
63.5,0.04913,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
task 1e,,,,,
,,,,,
distance center to sensor= 2.5cm,,,,,
1 cycle,5 ms,,,,
d2(cm),time delay(μs),,,,
14,194,,,,
19,356,,,,
24,508,,,,
29,680,,,,
34,790,,,,
39,980,,,,
44,1120,,,,
49,1260,,,,
54,1420,,,,
59,1560,,,,
64,1760,,,,
69,1920,,,,
74,2040,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
task 2,,,,,
21.93,,,,,
21.87,,,,,
20.99,,,,,
21.62,,,,,
23.09,,,,,
22.01,,,,,
